Provincia;Localidad;Dirección;Margen;Toma de datos;Precio;Rótulo;Tipo Venta;Rem.;Horario
MADRID;MADRID;CL MATEO INURRIA, 4;D;23/02/2015;1,229;REPSOL;P;OM;L-D: 24H
MADRID;MADRID;CL MERCAMADRID PARCELA D-3, SN;D;23/02/2015;1,214;REPSOL;P;OM;L-D: 24H
MADRID;MADRID;CL MONFORTE DE LEMOS, 7;I;23/02/2015;1,224;REPSOL;P;OM;L-D: 24H
MADRID;MADRID;CL NUESTRA SE¿ORA DE VALVERDE, 175;I;23/02/2015;1,209;REPSOL;P;OM;L-D: 06:00-22:00
MADRID;MADRID;CL NUESTRA SEÑORA DE VALVERDE, 175;D;23/02/2015;1,209;REPSOL;P;OM;L-D: 06:00-22:00
MADRID;MADRID;CL PASEO ACACIAS, 8;N;23/02/2015;1,219;REPSOL;P;OM;L-D: 24H
MADRID;MADRID;CL PASEO CASTELLANA, 276;N;20/02/2015;1,224;REPSOL;P;dm;L-D: 24H
MADRID;MADRID;CL PASEO DE LA HABANA, 168;D;23/02/2015;1,229;REPSOL;P;OM;L-D: 24H
MADRID;MADRID;CL PASEO DEL MARQUES DE ZAFRA, S.N.;D;23/02/2015;1,219;CAMPSA;P;OM;"L-V: 07:30-21:00; S: 07:30-14:30"
MADRID;MADRID;CL PASEO INFANTA ISABEL, 2;I;23/02/2015;1,229;REPSOL;P;dm;L-D: 24H
MADRID;MADRID;CL PLAZA LEGAZPI, 9;D;23/02/2015;1,229;REPSOL;P;OM;L-D: 24H
MADRID;MADRID;CL PRINCIPE DE VERGARA 106;N;20/02/2015;1,219;AGUSTIN MEDINA;P;dm;L-D: 24H
MADRID;MADRID;CL RICARDO ORTIZ,44;N;21/02/2015;1,219;BP;P;dm;L-D: 24H
MADRID;MADRID;CL RIOS ROSAS, 1;D;23/02/2015;1,229;REPSOL;P;OM;L-D: 24H
MADRID;MADRID;CR M-50 ,P.K. 34 M.I.;I;23/02/2015;1,219;REPSOL;P;OM;L-D: 24H
MADRID;MADRID;CR A-3 MG DCHO, KM 11,2 km 11,200;D;21/02/2015;1,208;BP;P;dm;L-D: 07:00-23:00
MADRID;MADRID;CR A-3 MG IZDO, KM 11,2 km 11,200;I;21/02/2015;1,208;BP;P;dm;L-D: 24H
MADRID;MADRID;CR A-5, 9;I;23/02/2015;1,199;REPSOL;P;OM;L-D: 24H
MADRID;MADRID;CR A-6, 8;D;23/02/2015;1,229;REPSOL;P;OM;L-D: 24H
MADRID;MADRID;CR M-214, 4,6;D;23/02/2015;1,219;REPSOL;P;OM;L-D: 06:00-23:00
