GASOLINA;ANYO;MES;PRECIO
GASOLEO_A;2012;3;1.385
GASOLEO_A;2012;4;1.383
GASOLEO_A;2012;5;1.357
GASOLEO_A;2012;6;1.302
GASOLEO_A;2012;7;1.333
GASOLEO_A;2012;8;1.394
GASOLEO_A;2012;9;1.433
GASOLEO_A;2012;10;1.413
GASOLEO_A;2012;11;1.358
GASOLEO_A;2012;12;1.347
GASOLEO_A;2013;1;1.37
GASOLEO_A;2013;2;1.394
GASOLEO_A;2013;3;1.381
GASOLEO_A;2013;4;1.349
GASOLEO_A;2013;5;1.323
GASOLEO_A;2013;6;1.334
GASOLEO_A;2013;7;1.355
GASOLEO_A;2013;8;1.365
GASOLEO_A;2013;9;1.385
GASOLEO_A;2013;10;1.355
GASOLEO_A;2013;11;1.342
GASOLEO_A;2013;12;1.354
GASOLEO_A;2014;1;1.342
GASOLEO_A;2014;2;1.339
GASOLEO_A;2014;3;1.325
GASOLEO_A;2014;4;1.324
GASOLEO_A;2014;5;1.323
GASOLEO_A;2014;6;1.331
GASOLEO_A;2014;7;1.326
GASOLEO_A;2014;8;1.323
GASOLEO_A;2014;9;1.321
GASOLEO_A;2014;10;1.282
GASOLEO_A;2014;11;1.253
GASOLEO_A;2014;12;1.149
GASOLEO_A;2015;1;1.074
GASOLEO_A;2015;2;1.108
